ID,B_treat,L_treat,day,silo,container,length,normality
BG4,C,T,2,0,4,66.4,n
BG5,C,C,2,0,1,66.4,a
BG9,T,T,2,0,4,66.4,a
BG5,C,C,7,3,3,66.4,n
BG6,T,T,7,3,6,66.4,n
BG8,T,T,7,3,6,66.4,a
BG6,T,T,14,2,5,66.4,n
BG10,T,C,2,0,1,66.5,a
BG4,C,C,2,0,1,66.6,n
BG9,T,C,2,0,1,66.7,n
BG3,C,T,7,2,5,66.75,n
BG4,C,T,2,0,4,66.8,a
BG5,C,T,2,0,4,66.8,n
BG6,T,T,2,0,4,66.8,a
BG6,T,T,7,3,6,66.85,a
BG4,C,C,2,0,1,66.9,a
BG4,C,T,7,2,5,66.9,n
BG6,T,T,7,1,4,66.95,n
BG8,T,T,7,3,6,66.95,a
BG9,T,T,7,3,6,66.95,n
BG8,T,T,2,0,4,67,n
BG9,T,T,2,0,4,67,a
BG7,T,T,7,1,4,67.05,a
BG7,T,T,7,1,4,67.05,a
BG10,T,C,2,0,1,67.1,a
BG3,C,T,2,0,4,67.1,a
BG5,C,T,2,0,4,67.1,a
BG4,C,C,2,0,1,67.2,n
BG6,T,T,2,0,4,67.4,n
BG10,T,T,2,0,4,67.5,a
BG7,T,C,2,0,1,67.5,n
BG3,C,T,7,2,5,67.55,n
BG10,T,T,2,0,4,67.6,n
BG3,C,T,2,0,4,67.6,n
BG9,T,C,2,0,1,67.6,n
BG8,T,T,7,1,4,67.65,a
BG7,T,C,7,3,3,67.75,a
BG3,C,T,2,0,4,67.8,a
BG9,T,T,2,0,4,67.8,a
BG3,C,T,2,0,4,67.9,a
BG5,C,T,7,2,5,67.9,n
BG9,T,T,7,2,5,67.9,a
BG4,C,T,7,2,5,68,n
BG6,T,T,7,1,4,68,a
BG8,T,T,2,0,4,68.1,a
BG5,C,C,2,0,1,68.2,a
BG5,C,C,7,1,1,68.35,n
BG5,C,T,7,2,5,68.35,n
BG4,C,T,2,0,4,68.4,a
BG4,C,T,2,0,4,68.4,a
BG4,C,T,2,0,4,68.4,n
BG6,T,T,2,0,4,68.4,a
BG8,T,C,2,0,1,68.4,n
BG9,T,T,2,0,4,68.4,n
BG8,T,T,7,1,4,68.45,a
BG6,T,T,2,0,4,68.6,a
BG6,T,T,2,0,4,68.6,n
BG9,T,C,2,0,1,68.7,n
BG3,C,T,7,2,5,68.75,a
BG5,C,C,2,0,1,68.8,a
BG6,T,T,7,1,4,68.8,a
BG7,T,T,2,0,4,68.9,n
BG8,T,T,2,0,4,68.9,n
BG5,C,T,7,2,5,68.9,a
BG8,T,T,7,3,6,68.9,a
BG8,T,T,7,3,6,68.9,n
BG9,T,C,7,2,2,68.9,n
BG8,T,C,2,0,1,69,n
BG5,C,T,7,2,5,69,n
